,CAID,Name
640,479335,KATUXA CALCADOS
641,479335,DROGARIA CAMARGOS
642,479335,DROGARIA PALMIRA L T DA
643,479335,DROGARIAS PARANA
644,479335,ELETROSOMCOM
645,479335,SUPERMERCADO ARCO IRIS
646,479335,DISAL
647,479335,SLEEP HOUSE
648,479335,NIVALMIX
649,479335,GALO
650,479335,GALO              0000000
651,479335,FERREIRA COSTA
652,479335,EMPORIO SANTA MARIA
653,479335,SUPERMERCADO VERAN
654,479335,BOBS
655,479335,ZELONET
656,479335,FIAT COMAUTO
657,479335,MOVEIS SIMONETTI
658,479335,COLCHOES DECOR
659,479335,RABELO MAQUINAS DE COSTUR
660,479335,RABELO
661,479335,TERRA INTERNET
662,479335,CATHO ONLINE
663,479335,CATHO ON LINE
664,479335,MOVEIS ESPLANADA
665,479335,RECARGA.COM*C4H9GUBN Oi
666,479335,RECARGA.COM*C4H9G33N Vivo
667,479335,RECARGA.COM*C4H9CNFP
668,479335,RECARGA.COM*C4H9CHCN TIM
669,479335,RECARGA.COM*C4H9CBEY Clar
670,479335,RECARGA.COM*C4H9CB3W TIM
671,479335,RECARGA.COM*C4H9B7BP
672,479335,RECARGA.COM*C4H9AUUN Vivo
673,479335,RECARGA.COM*C4H987LY TIM
674,479335,RECARGA.COM*C4H96HFL Vivo
675,479335,ANIMALE*1420248859032
676,479335,ANIMALE*1420245332270
677,479335,ANIMALE*1420231102766
678,479335,ANIMALE*157230
679,479335,ANIMALE*147963
680,479335,ANIMALE*1432217451650
681,479335,ANIMALE*1429581551098
682,479335,ANIMALE*157193
683,479335,ANIMALE*1424537539020
684,479335,ANIMALE*1432337520175
685,479335,VAREJAO DA QUALIDADE
686,479335,LIVRARIA ELDORADO
687,479335,OFNER
688,479335,EDITORA ESCALA
689,479335,EDITORA ESCALA    0000000
690,479335,VIP SUPERMERCADOS
691,479335,HEALWHEEL DO BRASIL
692,479335,SANTUARIO NACIONAL
693,479335,DUTRA MAQUINAS*4198897
694,479335,DROGARIA NISSEI EXPRESS
695,479335,DEEZER MUSIC BRASIL
696,479335,EMPIRICUS RESEARCH
697,479335,SITE*RicardoEletro
698,479335,CASA SHOW*563710
699,479335,CASA SHOW*521917
700,479335,CASA SHOW*556745
701,479335,CASA SHOW*561221
702,479335,CASA SHOW*558506
703,479335,CASA SHOW*564292
704,479335,CASA SHOW*545680
705,479335,ENGLISHTOWN DO BRASIL
